MarlattWiredNetwork 129.130.18.10
GoodnowWiredNetwork 129.130.18.11
FordWiredNetwork 129.130.18.12
WestWiredNetwork 129.130.18.13
HaymakerWiredNetwork 129.130.18.14
MooreWiredNetwork 129.130.18.15
PutnamWiredNetwork 129.130.18.16
BoydWiredNetwork 129.130.18.17
JardineBldg_1_WiredNetwork 129.130.18.18
JardineBldg_3_WiredNetwork 129.130.18.19
JardineBldg_4_WiredNetwork 129.130.18.20
JardineBldg_10_WiredNetwork 129.130.18.21
JardineBldg_11_WiredNetwork 129.130.18.22
JardineBldg_13_WiredNetwork 129.130.18.23
VanZileWiredNetwork 129.130.18.24
SmurthwaiteWiredNetwork 129.130.18.25
JardineBldg_1A_WiredNetwork 129.130.18.26
JardineBldg_2_WiredNetwork 129.130.18.27
JardineBldg_5_WiredNetwork 129.130.18.28
JardineBldg_6_WiredNetwork 129.130.18.29
JardineBldg_7_WiredNetwork 129.130.18.30
JardineBldg_8_WiredNetwork 129.130.18.31
JardineBldg_9_WiredNetwork 129.130.18.32
JardineBldg_12_WiredNetwork 129.130.18.33
JardineBldg_D_WiredNetwork 129.130.18.34
JardineBldg_E_WiredNetwork 129.130.18.35
JardineBldg_F_WiredNetwork 129.130.18.36
JardineBldg_G_WiredNetwork 129.130.18.37
JardineBldg_H_WiredNetwork 129.130.18.38
JardineBldg_I_WiredNetwork 129.130.18.39
JardineBldg_J_WiredNetwork 129.130.18.40
JardineBldg_L_WiredNetwork 129.130.18.41
JardineBldg_M_WiredNetwork 129.130.18.42
JardineBldg_N_WiredNetwork 129.130.18.43
JardineBldg_P_WiredNetwork 129.130.18.44
JardineBldg_Q_WiredNetwork 129.130.18.45
JardineBldg_R_WiredNetwork 129.130.18.46
JardineBldg_S_WiredNetwork 129.130.18.47
JardineBldg_T_WiredNetwork 129.130.18.48
JardineBldg_U_WiredNetwork 129.130.18.49
JardineBldg_V_WiredNetwork 129.130.18.50
JardineBldg_W_WiredNetwork 129.130.18.51
JardineBldg_X_WiredNetwork 129.130.18.52
JardineBldg_Y_WiredNetwork 129.130.18.53
Jardine_Frith_WiredNetwork 129.130.18.54
Jardine_ResNet_WiredNetwork 129.130.18.55
HousingLabNetwork 129.130.18.56
HousingPublicNetwork 129.130.18.57
ResNetDevelopmentNetwork 129.130.18.58
HousingDigitalSignageNetwork 129.130.18.59
JardineWirelessNetwork 129.130.18.60
EastResHallWirelessNetwork 129.130.18.61
WestResHallWirelessNetwork 129.130.18.62
StrongComplexWirelessNetwork 129.130.18.63
ResHallWirelessNetwork 129.130.18.64
ResHallGuestWirelessNetwork 129.130.18.65
VetMedWirelessNetwork 129.130.18.66
GuestWirelessNorthNetwork 129.130.18.67
GuestWirelessEastNetwork 129.130.18.68
GuestWirelessSouthNetwork 129.130.18.69
DigitalSignage 129.130.18.70
BowlingAlleyPC 129.130.18.71
AppleTVNet 129.130.18.72
OME-AS4 129.130.18.73
OME-AS5 129.130.18.74
BRI-BldgMgmt 129.130.18.75
BRI-Cameras 129.130.18.76
BRI-VideoControl 129.130.18.77
BRI-Admin 129.130.18.78
BRI-Servers 129.130.18.80
BRI-AdminVPN 129.130.18.81
OME-AS3 129.130.18.82
OME-AS6 129.130.18.83
OME-Alpha-AS1 129.130.18.84
OME-Alpha-AS2 129.130.18.85
OME-Alpha-AS3 129.130.18.86
OME-Alpha-AS4 129.130.18.87
Amigopod_Wireless 129.130.18.88
lib-catdb1 129.130.18.89
JardineBldg_14_WiredNetwork 129.130.18.90
JardineBldg_15_WiredNetwork 129.130.18.91
JardineBldg_16_WiredNetwork 129.130.18.92
BluemontWireless 129.130.18.93
TestVPNRange 129.130.18.94
NGML 129.130.18.95
FoundationCenterWireless 129.130.18.96
ArubaCampusWireless 129.130.18.97
CampusWireless3E 129.130.18.98
CampusWireless2N 129.130.18.99
CampusWirelessSouth 129.130.18.100
ArubaGuestWireless 129.130.18.101
